"day_of_week","product_format","found_rate"
"Sunday","KG","1.64850459593526791901"
"Sunday","UN","0.83729290921139827700"
"Monday","KG","1.70818327884723804054"
"Monday","UN","0.84700016758840288252"
"Tuesday","KG","1.68663102067285165257"
"Tuesday","UN","0.84924268177062097491"
"Wednesday","KG","1.65688274765879407164"
"Wednesday","UN","0.84832610298828180398"
"Thursday","KG","1.61118046917987249214"
"Thursday","UN","0.84906026338391067850"
"Friday","KG","1.60652607392019146925"
"Friday","UN","0.85007039499413375049"
"Saturday","KG","1.58192665149371871170"
"Saturday","UN","0.85056713592383179368"
